epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,398.778,1.50843,2.39755,2.66942,0.70878,0.65909,0.6805,0.445,1.08733,1.81004,2.86615,0.000407407,0.000407407,0.000407407
2,783.09,1.2584,1.34698,2.51946,0.71705,0.77179,0.69537,0.46687,1.06269,2.10437,2.73392,0.000803678,0.000803678,0.000803678
3,1153.71,1.20937,1.14291,2.46296,0.78474,0.72084,0.77722,0.53623,1.03109,1.19976,2.6796,0.00117932,0.00117932,0.00117932
4,1524.39,1.23114,1.09976,2.48648,0.79075,0.75,0.79916,0.56427,0.98753,1.08901,2.79757,0.00115719,0.00115719,0.00115719
5,1904.88,1.19071,1.05877,2.49291,0.79232,0.76818,0.79281,0.55887,1.00179,1.15804,2.64415,0.00112625,0.00112625,0.00112625
6,2284.43,1.173,1.01317,2.47078,0.77204,0.76973,0.78645,0.55353,0.99693,1.10493,2.75074,0.00109531,0.00109531,0.00109531
7,2661.9,1.12964,0.94244,2.47737,0.8314,0.71725,0.79803,0.55737,0.99644,1.01304,2.58819,0.00106437,0.00106437,0.00106437
8,3038.86,1.07125,0.90759,2.40178,0.83291,0.78636,0.79613,0.56878,0.90793,1.0427,2.60322,0.00103344,0.00103344,0.00103344
9,3414.27,1.07551,0.91987,2.37568,0.8287,0.80261,0.85856,0.64761,0.86343,0.88578,2.5871,0.0010025,0.0010025,0.0010025
10,3793.69,1.03162,0.85513,2.36286,0.79721,0.79773,0.78029,0.57541,0.91631,1.03853,2.5496,0.000971562,0.000971562,0.000971562
11,4184.39,1.01923,0.8197,2.37929,0.85202,0.81128,0.81755,0.62266,0.82569,0.84538,2.5997,0.000940625,0.000940625,0.000940625
12,4577.85,0.99443,0.81806,2.3649,0.81219,0.76591,0.82106,0.60593,0.87524,0.88102,2.47299,0.000909688,0.000909688,0.000909688
13,4956,1.02354,0.83312,2.37266,0.80763,0.79193,0.82188,0.63633,0.81806,0.86217,2.4712,0.00087875,0.00087875,0.00087875
14,5339.05,0.9922,0.79969,2.38564,0.80077,0.80227,0.82892,0.61008,0.83105,0.89179,2.44543,0.000847813,0.000847813,0.000847813
15,5724.76,0.97168,0.77324,2.33235,0.82333,0.83636,0.85094,0.64539,0.82199,0.83017,2.4846,0.000816875,0.000816875,0.000816875
16,6106.75,0.95169,0.77883,2.33226,0.85797,0.7963,0.8308,0.65162,0.75317,0.79294,2.45167,0.000785938,0.000785938,0.000785938
17,6487.48,0.94729,0.74567,2.29952,0.78858,0.83074,0.85352,0.66015,0.79734,0.89136,2.4486,0.000755,0.000755,0.000755
18,6861.82,0.92621,0.72992,2.30668,0.81606,0.84545,0.83706,0.65794,0.78723,0.79383,2.40723,0.000724062,0.000724062,0.000724062
19,7235.47,0.96011,0.74306,2.2875,0.83062,0.81591,0.85041,0.67777,0.7289,0.76273,2.41935,0.000693125,0.000693125,0.000693125
20,7606.59,0.89701,0.69943,2.24585,0.83418,0.84606,0.84347,0.68319,0.69145,0.71381,2.35698,0.000662188,0.000662188,0.000662188
21,7981.58,0.92112,0.71041,2.30777,0.83354,0.81942,0.83347,0.66775,0.71023,0.76951,2.37897,0.00063125,0.00063125,0.00063125
22,8358.39,0.91318,0.69129,2.25756,0.8622,0.82478,0.86354,0.69255,0.72632,0.74582,2.3598,0.000600313,0.000600313,0.000600313
23,8739.32,0.87571,0.67427,2.25579,0.90118,0.78762,0.86997,0.69629,0.71921,0.69371,2.34203,0.000569375,0.000569375,0.000569375
24,9116.67,0.9148,0.69843,2.2579,0.85326,0.83409,0.8743,0.70666,0.70126,0.69627,2.36659,0.000538438,0.000538438,0.000538438
25,9493.41,0.87325,0.6713,2.25769,0.84179,0.84646,0.83074,0.66366,0.70923,0.72153,2.31572,0.0005075,0.0005075,0.0005075
26,9870.8,0.86136,0.64748,2.24722,0.85698,0.8171,0.83892,0.67309,0.71723,0.75364,2.33484,0.000476562,0.000476562,0.000476562
27,10243.9,0.83007,0.62811,2.19843,0.84815,0.83784,0.85195,0.6887,0.70926,0.7174,2.31487,0.000445625,0.000445625,0.000445625
28,10613.3,0.84651,0.63659,2.22609,0.86693,0.83182,0.85459,0.69472,0.6764,0.7186,2.26862,0.000414688,0.000414688,0.000414688
29,10990.1,0.84204,0.64127,2.23792,0.85376,0.83409,0.8548,0.69548,0.67049,0.72871,2.25757,0.00038375,0.00038375,0.00038375
30,11366.7,0.83001,0.62498,2.19284,0.85867,0.82955,0.83734,0.68326,0.66636,0.71059,2.33679,0.000352812,0.000352812,0.000352812
31,11742.7,0.62633,0.50787,2.09713,0.84064,0.83636,0.8665,0.71631,0.6345,0.65647,2.26491,0.000321875,0.000321875,0.000321875
32,12117.2,0.62782,0.50273,2.05575,0.86425,0.83923,0.87998,0.73171,0.63899,0.67514,2.29071,0.000290937,0.000290937,0.000290937
33,12496.9,0.60762,0.48734,2.05437,0.86029,0.83967,0.86092,0.7142,0.63989,0.68981,2.2385,0.00026,0.00026,0.00026
34,12871.4,0.59066,0.4668,2.04233,0.84459,0.85455,0.87373,0.71895,0.64349,0.68701,2.21436,0.000229063,0.000229063,0.000229063
35,13255.3,0.59959,0.46446,2.07407,0.83597,0.87273,0.87486,0.73679,0.62954,0.67497,2.23555,0.000198125,0.000198125,0.000198125
36,13633.5,0.56203,0.44763,1.98281,0.8637,0.85682,0.87187,0.73671,0.61717,0.67477,2.21871,0.000167188,0.000167188,0.000167188
37,14011.1,0.57161,0.43847,2.0116,0.87515,0.85227,0.8569,0.73162,0.62145,0.66946,2.21786,0.00013625,0.00013625,0.00013625
38,14390.3,0.56418,0.43579,1.972,0.8567,0.85682,0.86519,0.73736,0.61136,0.66064,2.22395,0.000105312,0.000105312,0.000105312
39,14769.2,0.53944,0.42079,1.95638,0.86731,0.84677,0.87041,0.74053,0.61674,0.66655,2.19764,7.4375e-05,7.4375e-05,7.4375e-05
40,15139.9,0.54121,0.41651,1.94893,0.86669,0.84318,0.87243,0.74395,0.60736,0.66191,2.19865,4.34375e-05,4.34375e-05,4.34375e-05
